Activity,Weight,Reps,Duration,DateTime
Pu,40,15,,2020-09-29 08:45:04.830838
Pu,40,20,,2020-09-29 08:47:42.839794
Pu,40,15,,2020-09-29 09:24:34.350691
P,40,8,,2020-09-29 11:35:26.075974
Pu,40,20,,2020-09-29 11:36:19.083997
D,40,5,,2020-09-29 11:36:47.828447
P,40,6,,2020-09-29 13:50:01.463006
Pu,40,15,,2020-09-29 13:50:13.838308
P,40,8,,2020-09-29 14:50:06.311366
D,40,10,,2020-09-29 14:51:26.200167
P,40,6,,2020-09-29 14:57:37.542270
P,40,8,,2020-09-29 16:10:44.502332
Pu,40,15,,2020-09-29 16:10:51.086538
D,40,12,,2020-09-29 16:41:26.401883
P,40,8,,2020-09-29 16:41:37.279667
P,40,6,,2020-09-29 16:51:22.038854
D,0,23,,2020-09-29 17:41:53.058202
D,40,23,,2020-09-29 17:58:19.388905
D,0,1,,2020-09-30 08:04:00.399378
P,0,1,,2020-09-30 08:04:04.843420
Pu,0,1,,2020-09-30 08:04:07.819129
Pu,40,20,,2020-09-30 08:23:41.439105
P,40,6,,2020-09-30 08:25:26.248584
Pu,40,20,,2020-09-30 08:55:23.178140
Pu,40,20,,2020-09-30 10:24:07.857245
P,40,8,,2020-09-30 10:24:12.402129
D,40,10,,2020-09-30 11:11:40.091072
P,40,9,,2020-09-30 11:11:46.959976
M,0,3,,2020-09-30 12:47:35.527441
M,0,2,,2020-09-30 12:47:38.322714
M,0,1,,2020-09-30 12:47:40.195935
P,40,8,,2020-09-30 14:35:24.686278
Pu,40,20,,2020-09-30 14:41:11.425300
D,40,5,,2020-09-30 14:41:27.655362
P,40,8,,2020-09-30 14:55:49.406285
D,0,20,,2020-09-30 15:02:13.554787
P,40,10,,2020-09-30 17:26:01.880132
P,40,8,,2020-09-30 18:08:02.523202
Pu,40,20,,2020-09-30 18:08:08.059456
P,40,5,,2020-10-01 08:08:38.183557
Pu,40,5,,2020-10-01 08:08:42.081966
D,40,5,,2020-10-01 08:08:44.356906
Bc,30,5,,2020-10-01 08:09:08.836525
P,40,10,,2020-10-01 09:37:59.729853
Pu,40,20,,2020-10-01 09:39:20.783635
D,40,5,,2020-10-01 09:39:25.816499
P,40,10,,2020-10-01 10:33:01.344947
Pu,40,20,,2020-10-01 10:41:35.365142
P,40,10,,2020-10-01 12:52:18.926631
P,40,6,,2020-10-01 12:58:33.250794
P,40,10,,2020-10-01 13:18:46.028923
M,0,2,,2020-10-01 14:09:05.936239
Pu,40,24,,2020-10-01 16:53:00.622731
P,40,10,,2020-10-05 13:02:48.656664
P,40,10,,2020-10-05 14:49:59.444661
P,40,7,,2020-10-05 14:59:18.000701
P,0,13,,2020-10-05 15:09:55.363054
P,40,10,,2020-10-05 15:21:14.667376
Pu,40,20,,2020-10-05 16:02:11.313856
Pu,40,15,,2020-10-06 09:35:50.065805
P,40,10,,2020-10-06 09:35:54.018783
P,40,10,,2020-10-06 09:43:29.300445
P,0,12,,2020-10-06 11:31:29.119073
P,40,10,,2020-10-06 13:21:51.437301
Pu,40,10,,2020-10-06 13:21:55.365262
D,40,5,,2020-10-06 13:21:59.219506
P,40,8,,2020-10-06 14:51:24.453655
Pu,40,20,,2020-10-06 14:54:48.007017
D,0,30,,2020-10-06 16:02:42.379745
D,0,25,,2020-10-06 16:43:59.127305
Pu,0,45,,2020-10-06 20:09:50.550994
